sex,age,afe
1,2,0.43
1,3,0.47
1,4,0.51
1,5,0.54
1,6,0.58
1,7,0.62
1,8,0.68
1,9,0.72
1,10,0.76
1,11,0.8
1,12,0.78
1,13,0.84
1,14,0.86
1,15,0.92
1,16,1
1,17,1.11
1,18,1.16
1,19,1.16
1,20,1.18
1,21,1.18
1,22,1.18
1,23,1.18
1,24,1.18
1,25,1.2
1,26,1.2
1,27,1.2
1,28,1.2
1,29,1.2
1,30,1.18
1,31,1.18
1,32,1.18
1,33,1.18
1,34,1.18
1,35,1.19
1,36,1.19
1,37,1.19
1,38,1.19
1,39,1.19
1,40,1.19
1,41,1.19
1,42,1.19
1,43,1.19
1,44,1.19
1,45,1.19
1,46,1.19
1,47,1.19
1,48,1.19
1,49,1.19
1,50,1.19
1,51,1.19
1,52,1.19
1,53,1.19
1,54,1.19
1,55,1.19
1,56,1.19
1,57,1.19
1,58,1.19
1,59,1.19
1,60,0.99
1,61,0.99
1,62,0.99
1,63,0.99
1,64,0.99
1,65,0.98
1,66,0.98
1,67,0.98
1,68,0.98
1,69,0.98
1,70,0.98
1,71,0.98
1,72,0.98
1,73,0.98
1,74,0.98
1,75,0.98
1,76,0.98
1,77,0.98
1,78,0.98
1,79,0.98
1,80,0.98
1,81,0.98
1,82,0.98
1,83,0.98
1,84,0.98
1,85,0.98
1,86,0.98
1,87,0.98
1,88,0.98
1,89,0.98
1,93,0.98
1,94,0.98
1,95,0.98
1,96,0.98
1,98,0.98
1,100,0.98
2,2,0.39
2,3,0.44
2,4,0.48
2,5,0.52
2,6,0.56
2,7,0.58
2,8,0.63
2,9,0.65
2,10,0.68
2,11,0.73
2,12,0.79
2,13,0.82
2,14,0.89
2,15,0.92
2,16,0.97
2,17,0.99
2,18,0.96
2,19,1.04
2,20,0.97
2,21,1.03
2,22,0.98
2,23,0.99
2,24,0.99
2,25,1.01
2,26,1.03
2,27,1.04
2,28,1.03
2,29,1.02
2,30,0.99
2,31,1.01
2,32,1.01
2,33,1.01
2,34,1.01
2,35,1.02
2,36,1.02
2,37,1.01
2,38,1
2,39,1
2,40,1
2,41,1
2,42,1.01
2,43,1
2,44,1.01
2,45,1
2,46,1
2,47,1.01
2,48,1
2,49,0.99
2,50,1
2,51,1
2,52,1
2,53,1
2,54,1
2,55,1
2,56,1
2,57,1
2,58,1
2,59,1
2,60,0.89
2,61,0.89
2,62,0.89
2,63,0.89
2,64,0.89
2,65,0.88
2,66,0.88
2,67,0.88
2,68,0.88
2,69,0.88
2,70,0.88
2,71,0.88
2,72,0.88
2,73,0.88
2,74,0.88
2,75,0.87
2,76,0.87
2,77,0.87
2,78,0.87
2,79,0.87
2,80,0.86
2,81,0.86
2,82,0.86
2,83,0.86
2,84,0.86
2,85,0.85
2,86,0.85
2,87,0.85
2,88,0.85
2,89,0.85
2,90,0.85
2,92,0.85
2,93,0.85
2,95,0.85
2,96,0.85
2,98,0.85
2,99,0.85
2,100,0.85
