y4_hhid,domain,strataid,clusterid,clustertype,y4_weights,regcode,regname,discode,disname,intdy,intmo,intyr
1000-001,3,4,20203304004,1,3755.72509765625,2,ARUSHA,2,MERU,1,11,2014
1001-001,3,4,20203304004,1,3755.72509765625,2,ARUSHA,2,MERU,1,11,2014
1002-001,3,4,20203304004,1,3755.72509765625,2,ARUSHA,2,MERU,1,11,2014
1003-001,3,4,20203304004,1,3755.72509765625,2,ARUSHA,2,MERU,31,10,2014
1005-001,3,4,20203304004,1,3755.72509765625,2,ARUSHA,2,MERU,31,10,2014
1006-001,3,4,20203304004,1,3755.72509765625,2,ARUSHA,2,MERU,31,10,2014
1007-001,3,4,20203304004,1,3755.72509765625,2,ARUSHA,2,MERU,31,10,2014
1009-001,3,4,20203304004,1,3755.72509765625,2,ARUSHA,2,MERU,3,11,2014
1019-001,2,3,20210303304,2,5792.78125,2,ARUSHA,2,MERU,19,12,2014
1020-001,2,3,20210303304,2,5792.78125,2,ARUSHA,2,MERU,19,12,2014
1021-001,2,3,20210303304,2,5792.78125,2,ARUSHA,2,MERU,19,12,2014
1022-001,2,3,20210303304,2,5792.78125,2,ARUSHA,2,MERU,19,12,2014
1023-001,2,3,20210303304,2,5792.78125,2,ARUSHA,2,MERU,19,12,2014
1024-001,2,3,20210303304,2,5792.78125,2,ARUSHA,2,MERU,19,12,2014
1025-001,2,3,20210303304,2,5792.78125,2,ARUSHA,2,MERU,19,12,2014
1026-001,2,3,20210303304,2,5792.78125,2,ARUSHA,2,MERU,19,12,2014
1038-001,2,3,20318204003,2,5305.06005859375,2,ARUSHA,3,ARUSHA MJINI,29,10,2014
1039-001,2,3,20318204003,2,5305.06005859375,2,ARUSHA,3,ARUSHA MJINI,29,10,2014
1040-001,2,3,20318204003,2,5305.06005859375,2,ARUSHA,3,ARUSHA MJINI,28,10,2014
1041-001,2,3,20318204003,2,5305.06005859375,2,ARUSHA,3,ARUSHA MJINI,28,10,2014
1042-001,2,3,20318204003,2,5305.06005859375,2,ARUSHA,3,ARUSHA MJINI,28,10,2014
1043-001,2,3,20318204003,2,5305.06005859375,2,ARUSHA,3,ARUSHA MJINI,28,10,2014
1044-001,2,3,20318204003,2,5305.06005859375,2,ARUSHA,3,ARUSHA MJINI,28,10,2014
1045-001,2,3,20318204003,2,5305.06005859375,2,ARUSHA,3,ARUSHA MJINI,28,10,2014
1057-001,3,4,20406105001,1,2855.916015625,2,ARUSHA,4,KARATU,23,11,2014
1058-001,3,4,20406105001,1,2855.916015625,2,ARUSHA,4,KARATU,23,11,2014
1059-001,3,4,20406105001,1,2855.916015625,2,ARUSHA,4,KARATU,23,11,2014
1060-001,3,4,20406105001,1,2855.916015625,2,ARUSHA,4,KARATU,23,11,2014
1061-001,3,4,20406105001,1,2855.916015625,2,ARUSHA,4,KARATU,23,11,2014
1062-001,3,4,20406105001,1,2855.916015625,2,ARUSHA,4,KARATU,23,11,2014
1063-001,3,4,20406105001,1,2855.916015625,2,ARUSHA,4,KARATU,23,11,2014
1064-001,3,4,20406105001,1,2855.916015625,2,ARUSHA,4,KARATU,23,11,2014
1076-001,3,4,20601102004,1,3485.89770507813,2,ARUSHA,6,ARUSHA,18,11,2014
1077-001,3,4,20601102004,1,3485.89770507813,2,ARUSHA,6,ARUSHA,18,11,2014
1078-001,3,4,20601102004,1,3485.89770507813,2,ARUSHA,6,ARUSHA,18,11,2014
1079-001,3,4,20601102004,1,3485.89770507813,2,ARUSHA,6,ARUSHA,18,11,2014
1080-001,3,4,20601102004,1,3485.89770507813,2,ARUSHA,6,ARUSHA,18,11,2014
1081-001,3,4,20601102004,1,3485.89770507813,2,ARUSHA,6,ARUSHA,19,11,2014
1082-001,3,4,20601102004,1,3485.89770507813,2,ARUSHA,6,ARUSHA,19,11,2014
1083-001,3,4,20601102004,1,3485.89770507813,2,ARUSHA,6,ARUSHA,19,11,2014
1095-001,3,4,20702102003,1,2090.60498046875,2,ARUSHA,7,LONGIDO,24,2,2015
1096-001,3,4,20702102003,1,2090.60498046875,2,ARUSHA,7,LONGIDO,26,2,2015
1097-001,3,4,20702102003,1,2090.60498046875,2,ARUSHA,7,LONGIDO,24,2,2015
1098-001,3,4,20702102003,1,2090.60498046875,2,ARUSHA,7,LONGIDO,24,2,2015
1099-001,3,4,20702102003,1,2090.60498046875,2,ARUSHA,7,LONGIDO,24,2,2015
1100-001,3,4,20702102003,1,2090.60498046875,2,ARUSHA,7,LONGIDO,26,2,2015
1101-001,3,4,20702102003,1,2090.60498046875,2,ARUSHA,7,LONGIDO,26,2,2015
1102-001,3,4,20702102003,1,2090.60498046875,2,ARUSHA,7,LONGIDO,26,2,2015
1114-001,1,13,70102201005,2,2369.42651367188,7,DAR ES SALAAM,1,KINONDONI,7,10,2014
1115-001,1,13,70102201005,2,2369.42651367188,7,DAR ES SALAAM,1,KINONDONI,7,10,2014
1116-001,1,13,70102201005,2,2369.42651367188,7,DAR ES SALAAM,1,KINONDONI,7,10,2014
1118-001,1,13,70102201005,2,2369.42651367188,7,DAR ES SALAAM,1,KINONDONI,7,10,2014
1119-001,1,13,70102201005,2,2369.42651367188,7,DAR ES SALAAM,1,KINONDONI,7,10,2014
1120-001,1,13,70102201005,2,2369.42651367188,7,DAR ES SALAAM,1,KINONDONI,8,10,2014
1121-001,1,13,70102201005,2,2369.42651367188,7,DAR ES SALAAM,1,KINONDONI,7,10,2014
1122-001,1,13,70102201005,2,2369.42651367188,7,DAR ES SALAAM,1,KINONDONI,7,10,2014
1133-001,1,13,70104202038,2,2723.28051757813,7,DAR ES SALAAM,1,KINONDONI,12,10,2014
1134-001,1,13,70104202038,2,2723.28051757813,7,DAR ES SALAAM,1,KINONDONI,9,10,2014
1135-001,1,13,70104202038,2,2723.28051757813,7,DAR ES SALAAM,1,KINONDONI,10,10,2014
1136-001,1,13,70104202038,2,2723.28051757813,7,DAR ES SALAAM,1,KINONDONI,10,10,2014
1137-001,1,13,70104202038,2,2723.28051757813,7,DAR ES SALAAM,1,KINONDONI,10,10,2014
1139-001,1,13,70104202038,2,2723.28051757813,7,DAR ES SALAAM,1,KINONDONI,10,10,2014
1140-001,1,13,70104202038,2,2723.28051757813,7,DAR ES SALAAM,1,KINONDONI,10,10,2014
1142-001,1,13,70104202038,2,2723.28051757813,7,DAR ES SALAAM,1,KINONDONI,11,10,2014
1152-001,1,13,70106204019,2,1739.14440917969,7,DAR ES SALAAM,1,KINONDONI,3,1,2015
1153-001,1,13,70106204019,2,1739.14440917969,7,DAR ES SALAAM,1,KINONDONI,11,1,2015
1154-001,1,13,70106204019,2,1739.14440917969,7,DAR ES SALAAM,1,KINONDONI,3,1,2015
1155-001,1,13,70106204019,2,1739.14440917969,7,DAR ES SALAAM,1,KINONDONI,3,1,2015
1156-001,1,13,70106204019,2,1739.14440917969,7,DAR ES SALAAM,1,KINONDONI,3,1,2015
