y4_hhid,domain,strataid,clusterid,clustertype,y4_weights
1000-001,3,4,20203304004,1,3755.72509765625
1001-001,3,4,20203304004,1,3755.72509765625
1002-001,3,4,20203304004,1,3755.72509765625
1003-001,3,4,20203304004,1,3755.72509765625
1005-001,3,4,20203304004,1,3755.72509765625
1006-001,3,4,20203304004,1,3755.72509765625
1007-001,3,4,20203304004,1,3755.72509765625
1009-001,3,4,20203304004,1,3755.72509765625
1019-001,2,3,20210303304,2,5792.78125
1020-001,2,3,20210303304,2,5792.78125
1021-001,2,3,20210303304,2,5792.78125
1022-001,2,3,20210303304,2,5792.78125
1023-001,2,3,20210303304,2,5792.78125
1024-001,2,3,20210303304,2,5792.78125
1025-001,2,3,20210303304,2,5792.78125
1026-001,2,3,20210303304,2,5792.78125
1038-001,2,3,20318204003,2,5305.06005859375
1039-001,2,3,20318204003,2,5305.06005859375
1040-001,2,3,20318204003,2,5305.06005859375
1041-001,2,3,20318204003,2,5305.06005859375
1042-001,2,3,20318204003,2,5305.06005859375
1043-001,2,3,20318204003,2,5305.06005859375
1044-001,2,3,20318204003,2,5305.06005859375
1045-001,2,3,20318204003,2,5305.06005859375
1057-001,3,4,20406105001,1,2855.916015625
1058-001,3,4,20406105001,1,2855.916015625
1059-001,3,4,20406105001,1,2855.916015625
1060-001,3,4,20406105001,1,2855.916015625
1061-001,3,4,20406105001,1,2855.916015625
1062-001,3,4,20406105001,1,2855.916015625
1063-001,3,4,20406105001,1,2855.916015625
1064-001,3,4,20406105001,1,2855.916015625
1076-001,3,4,20601102004,1,3485.89770507813
1077-001,3,4,20601102004,1,3485.89770507813
1078-001,3,4,20601102004,1,3485.89770507813
1079-001,3,4,20601102004,1,3485.89770507813
1080-001,3,4,20601102004,1,3485.89770507813
1081-001,3,4,20601102004,1,3485.89770507813
1082-001,3,4,20601102004,1,3485.89770507813
1083-001,3,4,20601102004,1,3485.89770507813
1095-001,3,4,20702102003,1,2090.60498046875
1096-001,3,4,20702102003,1,2090.60498046875
1097-001,3,4,20702102003,1,2090.60498046875
1098-001,3,4,20702102003,1,2090.60498046875
1099-001,3,4,20702102003,1,2090.60498046875
1100-001,3,4,20702102003,1,2090.60498046875
1101-001,3,4,20702102003,1,2090.60498046875
1102-001,3,4,20702102003,1,2090.60498046875
1114-001,1,13,70102201005,2,2369.42651367188
1115-001,1,13,70102201005,2,2369.42651367188
1116-001,1,13,70102201005,2,2369.42651367188
1118-001,1,13,70102201005,2,2369.42651367188
1119-001,1,13,70102201005,2,2369.42651367188
1120-001,1,13,70102201005,2,2369.42651367188
1121-001,1,13,70102201005,2,2369.42651367188
1122-001,1,13,70102201005,2,2369.42651367188
1133-001,1,13,70104202038,2,2723.28051757813
1134-001,1,13,70104202038,2,2723.28051757813
1135-001,1,13,70104202038,2,2723.28051757813
1136-001,1,13,70104202038,2,2723.28051757813
1137-001,1,13,70104202038,2,2723.28051757813
1139-001,1,13,70104202038,2,2723.28051757813
1140-001,1,13,70104202038,2,2723.28051757813
1142-001,1,13,70104202038,2,2723.28051757813
1152-001,1,13,70106204019,2,1739.14440917969
1153-001,1,13,70106204019,2,1739.14440917969
1154-001,1,13,70106204019,2,1739.14440917969
1155-001,1,13,70106204019,2,1739.14440917969
1156-001,1,13,70106204019,2,1739.14440917969
1158-001,1,13,70106204019,2,1739.14440917969
1159-001,1,13,70106204019,2,1739.14440917969
1162-001,1,13,70106204019,2,1739.14440917969
1171-001,1,13,70110201004,2,1754.00915527344
1172-001,1,13,70110201004,2,1754.00915527344
1173-001,1,13,70110201004,2,1754.00915527344
1174-001,1,13,70110201004,2,1754.00915527344
1175-001,1,13,70110201004,2,1754.00915527344
1176-001,1,13,70110201004,2,1754.00915527344
1177-001,1,13,70110201004,2,1754.00915527344
1179-001,1,13,70110201004,2,1754.00915527344
1191-001,1,13,70111204032,2,3592.51098632813
1192-001,1,13,70111204032,2,3592.51098632813
1193-001,1,13,70111204032,2,3592.51098632813
1194-001,1,13,70111204032,2,3592.51098632813
1195-001,1,13,70111204032,2,3592.51098632813
1196-001,1,13,70111204032,2,3592.51098632813
1198-001,1,13,70111204032,2,3592.51098632813
1201-001,1,13,70111204032,2,3592.51098632813
1209-001,1,13,70114201007,2,4581.8427734375
1210-001,1,13,70114201007,2,4581.8427734375
1211-001,1,13,70114201007,2,4581.8427734375
1212-001,1,13,70114201007,2,4581.8427734375
1213-001,1,13,70114201007,2,4581.8427734375
1214-001,1,13,70114201007,2,4581.8427734375
1215-001,1,13,70114201007,2,4581.8427734375
1217-001,1,13,70114201007,2,4581.8427734375
1229-001,1,13,70116202001,2,941.867736816406
1230-001,1,13,70116202001,2,941.867736816406
1231-001,1,13,70116202001,2,941.867736816406
1232-001,1,13,70116202001,2,941.867736816406
1233-001,1,13,70116202001,2,941.867736816406
1235-001,1,13,70116202001,2,941.867736816406
1236-001,1,13,70116202001,2,941.867736816406
1239-001,1,13,70116202001,2,941.867736816406
1247-001,1,13,70119201006,2,1718.43188476563
1248-001,1,13,70119201006,2,1718.43188476563
1249-001,1,13,70119201006,2,1718.43188476563
1250-001,1,13,70119201006,2,1718.43188476563
1252-001,1,13,70119201006,2,1718.43188476563
1253-001,1,13,70119201006,2,1718.43188476563
1254-001,1,13,70119201006,2,1718.43188476563
1257-001,1,13,70119201006,2,1718.43188476563
1266-001,1,13,70121203018,2,2257.19946289063
1267-001,1,13,70121203018,2,2257.19946289063
