y4_hhid,feafet,znafet,vaafet,folafet,vb12afet
1000-001,13.675761456629626,7.355868172527355,130.88240659241185,333.837423294041,0.8272301378340184
1001-001,16.106754837400157,7.771733714937103,113.50713228092783,321.9481434941453,1.4981794706937697
1002-001,32.88947130979308,19.514810019017673,360.46615155136817,1149.5524675599115,2.1392319147177217
1003-001,28.063346444789612,14.324114809906144,309.19291176627837,607.1586026667927,2.1763009836835687
1005-001,12.402485492366742,8.797308843694198,374.260812780721,341.62304499741606,2.2965799683883925
1006-001,15.029843273852261,9.48764706026975,212.12112860595343,431.0663015733109,1.3181474689570807
1007-001,26.36374730080677,19.911198595695222,341.6461403129213,883.2534974633134,4.80493125140987
1009-001,14.477045836883502,10.400326617844494,312.222218771107,460.0305065987296,2.6145074645861883
1019-001,25.364717675853605,14.963556123613861,402.84483315251344,579.6369202423126,19.754759225848655
1020-001,23.3822606498234,17.975977039693703,412.48612767607716,521.0929777000692,13.199877283519557
1021-001,14.813277456139703,9.333909115915477,334.3055945293847,299.87832497791476,3.9030661285238097
1022-001,20.708410646497537,12.148638785874018,369.53931494007344,413.00002984873856,6.732874104499582
1023-001,20.760230092275027,17.787316702610486,482.6741317479259,349.9199773449572,17.04787125183631
1024-001,29.897694618338967,11.316456213429321,519.962774714928,552.6166199015248,1.1158670926708842
1025-001,23.351379295294805,12.58646564350487,447.8064239360591,564.8951294656051,6.728786011298701
1026-001,22.301924607234493,16.917393939984592,315.0293125682173,271.53799048591907,9.772879314456809
1038-001,25.907930031900086,15.9873902303324,308.0729846350611,450.81867581138124,9.615609048357989
1039-001,22.550839666574912,9.529537925893457,187.065091811842,153.65079435099614,5.199181827727272
1040-001,26.416077917818818,16.003076858890196,437.5110506722337,464.93842008458023,13.615274413277135
1041-001,34.86625767303597,21.96802983557855,588.4520552545206,931.4121750672673,5.119824187498177
1042-001,24.238034104692378,14.981446633368483,616.0787011904513,366.15070611315025,5.93941898582319
1043-001,18.453699691985847,10.941583692102851,283.33342296932256,368.9343808944367,2.5270619208303455
1044-001,15.391226714418803,10.225974110379164,336.8502940899205,313.74443271844024,3.330073935110909
1045-001,0.22689075630252098,0.19447779111644659,0.9723889555822329,7.130852340936375,0
1057-001,45.26356753246753,15.03322883766234,371.8638769196248,655.5466211375181,0
1058-001,24.273237956130036,14.58207323569217,165.4174426308509,662.1844307379116,13.75786971752685
1059-001,38.90626688484818,24.78597247350655,333.4783213308509,812.2645570362024,7.416216834352013
1060-001,27.629915524453022,12.19454474903475,156.84465209539897,497.9437882939189,0
1061-001,81.32805262641139,15.336398669612175,158.43873146649483,217.5929676226068,0.9729749631811487
1062-001,23.49126672355704,17.274083770780706,246.74631584189848,326.6519302469605,8.926664717153113
1063-001,20.002618645585756,12.797207276469656,178.37113125333076,327.39685209078664,4.996221739994053
1064-001,71.85551131900708,24.839099020843452,429.91789019006535,513.794925650999,8.330632106575397
1076-001,16.524737388868655,9.054653440705287,123.24022398595918,313.0417415300992,0
1077-001,10.934104418153822,8.582500011694615,321.51359730385036,241.14517892790712,2.970858160451467
1078-001,31.73581942603067,18.94625538325343,427.4924018773976,750.5858977230412,4.072977800963203
1079-001,47.96964815009197,20.532432974642983,532.3048191731606,741.0083333867385,11.62381018818846
1080-001,15.838653626750288,10.078228750189332,161.4242090152122,277.0375571953061,8.395394026749425
1081-001,17.071197548765152,12.905249239082792,317.50139949860386,181.51282769244804,5.006865069561687
